Reused Comment,Reused Comment Author (Role),Reused Code Author,Reused Chunk Name (Assignment),Reused Code Link,Reused Date,Parent Comment,Parent Comment Author (Role),Parent Code Author,Parent Chunk Name (Assignment),Parent Code Link,Parent Date
Use Ctrl + Shift + O to optimize your imports and remove unused ones - that's a really handy shortcut to have if you don't already know it.,vtjeng (S),niquo,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91112#comment-203280,2015-02-11 10:05:41,Use Ctrl + Shift + O to optimize your imports and remove unused ones - that's a really handy shortcut to have if you don't already know it.,vtjeng (S),elin1,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91454#comment-203259,2015-02-11 09:48:20
"You don't need to import from java.lang, as it's already implicitly imported",kimberli (S),priyav,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90815#comment-205931,2015-02-12 20:04:42,"You don't need to import from java.lang, as it's already implicitly imported",kimberli (S),phager,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90837#comment-205918,2015-02-12 19:57:22
"In eclipse, you can use Ctrl-Shift-O to remove unused imports.",elin1 (S),tonycao,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95871#comment-208162,2015-02-28 11:12:57,"In eclipse, you can use Ctrl-Shift-O to remove unused imports.",elin1 (S),jsgordon,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95456#comment-208153,2015-02-28 11:03:28
"Yes, I think MATH package is automatically included.",acm (S),garronc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90194#comment-205789,2015-02-12 18:19:16,"Yes, I think MATH package is automatically included.",acm (S),epayne,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91586#comment-205785,2015-02-12 18:17:37
add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),gesayas,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/89701#comment-204128,2015-02-11 17:48:33,add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),fcicileo,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/90397#comment-204105,2015-02-11 17:38:04
add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),mmgong,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/89844#comment-204137,2015-02-11 17:51:56,add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),fcicileo,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/90397#comment-204105,2015-02-11 17:38:04
Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),nicolekg,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97331#comment-212887,2015-03-02 20:16:53,Nice job on covering all parts of your current partitions.,aluh (S),delerme,ExtractTest (ps1),https://10.18.6.30/chunks/view/98027#comment-212733,2015-03-02 18:45:11
I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code,dumesnil (S),jefflu,FilterTest (ps1),https://10.18.6.30/chunks/view/95091#comment-208924,2015-02-28 20:12:33,I would probably put these directly above the tests they correspond with.,dumesnil (S),haoshen,FilterTest (ps1),https://10.18.6.30/chunks/view/94981#comment-208920,2015-02-28 20:05:48
Good description of partitions.,dpchen (S),tfh,FilterTest (ps1),https://10.18.6.30/chunks/view/95727#comment-210823,2015-03-01 19:07:23,Good description of partitions.,dpchen (S),sarastik,ExtractTest (ps1),https://10.18.6.30/chunks/view/96833#comment-210816,2015-03-01 19:01:27
Reuse code and call another function you wrote which does the same thing.,brishima (S),stewarta,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89930#comment-203538,2015-02-11 13:29:25,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
Worse than using tabs is mixing tabs and spaces.,brishima (S),stewarta,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89930#comment-203539,2015-02-11 13:29:51,Worse than using tabs is mixing tabs and spaces.,brishima (S),yzhang17,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90306#comment-203431,2015-02-11 11:54:26
"Whitespace looks nicer like this:
for (int i = 0; i < 4; i++) {",vdean (S),espinoza,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89511#comment-203418,2015-02-11 11:45:17,"Whitespace looks nicer like this:
for (int i = 0; i < 4; i++) {",vdean (S),akshayr,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90682#comment-203368,2015-02-11 11:07:59
"store constants with ALL_CAPS and the keyword ""final"". Still, good job avoiding magic numbers.",cajubelt (S),jlucier,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91741#comment-204189,2015-02-11 18:43:31,"better to use the keyword ""final"" when assigning constants. Still, good job avoiding magic numbers.",cajubelt (S),slakshmi,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90394#comment-204180,2015-02-11 18:32:48
You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),rlathe,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89643#comment-204767,2015-02-11 23:11:39,"Could call drawRegularPolygon in this method, passing a 4 in the sides parameter. This loop is repeated in drawRegularPolygon.",osmanyc (S),smohan94,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90671#comment-204725,2015-02-11 22:59:31
"Keep in mind that while the autograder won't be looking over your comments and your testing strategy, we will be manually grading them in your final version.",lakras (T),mcover,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95544#comment-213180,2015-03-02 22:03:07,"Keep in mind that while the autograder won't be looking over your comments and your testing strategy, we will be manually grading them in your final version.",lakras (T),briantom,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96793#comment-213047,2015-03-02 21:22:10
Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),orlowski,FilterTest (ps1),https://10.18.6.30/chunks/view/97782#comment-212946,2015-03-02 20:41:05,Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),nicolekg,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97331#comment-212887,2015-03-02 20:16:53
Reuse code and call another function you wrote which does the same thing.,brishima (S),ganand,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89830#comment-203523,2015-02-11 13:25:14,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
You should look into having Eclipse do automatic formatting.,ddoucet (T),erinhong,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91884#comment-206354,2015-02-13 11:10:37,"I think you should do further research into the Math class :)  (Looks good, but unnecessary!)",ksilva (T),nicole16,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90062#comment-205972,2015-02-12 20:24:52
Good job using a good job using a loop instead of repeating code!,kpvm (S),smohan94,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90671#comment-204386,2015-02-11 20:22:50,good job using a loop instead of repeating code!,kpvm (S),kelseyc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90051#comment-204360,2015-02-11 20:10:53
You could call You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),faaya,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90560#comment-204787,2015-02-11 23:25:31,You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),rlathe,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89643#comment-204767,2015-02-11 23:11:39
You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),jerop,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89412#comment-204837,2015-02-11 23:45:27,You could call You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),faaya,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90560#comment-204787,2015-02-11 23:25:31
Consider partitioning specifically on the inputs and outputs of your functions.,lahuang4 (S),jabrown,ExtractTest (ps1),https://10.18.6.30/chunks/view/95529#comment-208725,2015-02-28 16:33:12,"Consider partitioning specifically on the inputs and outputs of your functions, instead of general types of test cases.",lahuang4 (S),jsgordon,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95458#comment-208698,2015-02-28 16:19:29
"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),liherman,FilterTest (ps1),https://10.18.6.30/chunks/view/97179#comment-212971,2015-03-02 20:50:07,"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212958,2015-03-02 20:45:24
Great use of Constants to remove the use of magic numbers,ellisonj (S),lynnt,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90770#comment-203982,2015-02-11 16:42:40,Great use of Constants to remove the use of magic numbers,ellisonj (S),adelarue,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91090#comment-203943,2015-02-11 16:31:36
Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),phzhou,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91520#comment-204895,2015-02-12 00:23:25,Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),vye16,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89863#comment-204869,2015-02-12 00:04:08
"I think your code could be more DRY if you could call your method below with drawRegularPolygon(turtle,4,sideLength) rather than writing a similar for loop again.",acm (S),garronc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90194#comment-205805,2015-02-12 18:29:25,"I think your code could be more DRY if you could call your method below with drawRegularPolygon(turtle,4,sideLength) rather than writing a similar for loop again.",acm (S),epayne,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91586#comment-205774,2015-02-12 18:09:32
Maybe it'd be worth it to make 180 a constant used in many locations since it shows up a lot (and 90 and 360),lahuang4 (S),ellisonj,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91288#comment-204553,2015-02-11 21:44:36,"Although maybe it'd be worth it to make 180 a constant used in many locations since it shows up a lot, hmm... (and 90 and 360)",lahuang4 (S),deannah,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90704#comment-204513,2015-02-11 21:28:33
Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),label,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90150#comment-204886,2015-02-12 00:13:46,Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),vye16,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89863#comment-204869,2015-02-12 00:04:08
"I like your input partitioning, but I believe the assignment also wanted us to write out our partitions for the output space as well. And perhaps add how each test case covers the input/output partitions?",gesayas (S),shinjini,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96942#comment-210030,2015-03-01 12:56:36,"I like your input partitioning, but I believe the assignment also wanted us to write out our partitions for the output space as well",gesayas (S),vtjeng,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96997#comment-210014,2015-03-01 12:46:38
May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),huypham,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97652#comment-213075,2015-03-02 21:34:32,May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),shreyash,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97365#comment-213049,2015-03-02 21:24:17
Make sure to also partition on your output space.,lakras (T),ajays235,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96082#comment-213131,2015-03-02 21:49:40,Make sure to also partition on your output space.,lakras (T),chandani,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95359#comment-213117,2015-03-02 21:46:29
"See ""Tab policy"" here: http://web.mit.edu/6.005/www/sp15/getting-started/#config-eclipse",lakras (T),kiranw,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/94995#comment-213084,2015-03-02 21:37:54,"See ""Tab policy"" here: http://web.mit.edu/6.005/www/sp15/getting-started/#config-eclipse",lakras (T),cmozarmi,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91862#comment-205696,2015-02-12 17:27:36
"In your partitioning comment, say which test covers parts of the partition. This will help you determine if you've covered all the necessary cases",vdean (S),ellisonj,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97897#comment-212060,2015-03-02 11:48:18,"In your partitioning comment, say with test covers parts of the partition. This will help you determine if you've covered all the necessary cases",vdean (S),snmishra,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97354#comment-212051,2015-03-02 11:44:51
"This takes up too much space, which makes it hard to look through your code quickly. Try condensing it like this - on one line, write ""By list length: 0, 1, or >1"" or something along those lines. Then remove the extra new lines.",vdean (S),kimberli,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97234#comment-212093,2015-03-02 11:59:17,"This takes up too much space, which makes it hard to look through your code quickly. Try condensing it like this - on one line, write ""Partition 1: number of tweets: 0, 1, or >1"" or something along those lines. Then remove the extra new lines",vdean (S),rrrahman,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/98073#comment-212079,2015-03-02 11:55:03
Reuse code and call another function you wrote which does the same thing.,brishima (S),yzhang17,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90306#comment-203453,2015-02-11 12:20:20,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
"DRY, use a for loop to make this more concise.",gcliang (S),oguevara,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90892#comment-204164,2015-02-11 18:07:09,"DRY, use a for loop to make this more concise.",gcliang (S),hugoz,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90172#comment-204156,2015-02-11 18:03:36
"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212958,2015-03-02 20:45:24,"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),zpsaras,ExtractTest (ps1),https://10.18.6.30/chunks/view/97681#comment-212899,2015-03-02 20:21:42
"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),liherman,FilterTest (ps1),https://10.18.6.30/chunks/view/97179#comment-212972,2015-03-02 20:50:19,"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212959,2015-03-02 20:45:36
"You can collapse this into a single line as ""private static Instant d1, d2, d3, d4, d5, d6, d7;"" and on line 46 as ""private static Tweet tweet1, tweet2, tweet3, tweet4, tweet5, tweet6, tweet7, tweet8;""",atitus (S),guezmike,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95797#comment-208594,2015-02-28 14:47:49,"You can collapse this into a single line as ""private static Instant d1, d2, d3, d4;"" and on line 46 as ""private static Tweet tweet1, tweet2, tweet3, tweet4, tweet5;""",atitus (S),anr,ExtractTest (ps1),https://10.18.6.30/chunks/view/95967#comment-208426,2015-02-28 13:19:08
"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212959,2015-03-02 20:45:36,"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),zpsaras,ExtractTest (ps1),https://10.18.6.30/chunks/view/97681#comment-212901,2015-03-02 20:22:19
May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),bosshua,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97482#comment-213081,2015-03-02 21:36:37,May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),huypham,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97652#comment-213075,2015-03-02 21:34:32
I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code. This is my opinion,dumesnil (S),anr,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95973#comment-208960,2015-02-28 20:39:15,I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code,dumesnil (S),jefflu,FilterTest (ps1),https://10.18.6.30/chunks/view/95091#comment-208924,2015-02-28 20:12:33
What about output key size and output set size?,csiu22 (S),kccandon,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96129#comment-209000,2015-02-28 21:19:46,What about output key size and output set size?,csiu22 (S),haoshen,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/94984#comment-208988,2015-02-28 21:11:25
May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),tzhan,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97764#comment-213089,2015-03-02 21:38:56,May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),huypham,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97652#comment-213075,2015-03-02 21:34:32
maybe name your test variables something more descriptive than d1 or d2... it'll help when writing your tests to use variables that indicate what test cases they should be used in,jasmeet (S),wjarvis,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96672#comment-210637,2015-03-01 16:57:37,maybe name your test variables something more descriptive than d1 or d2... it'll help when writing your tests to use variables that indicate what test cases they should be used in,jasmeet (S),eyxue,MyFilterTest (ps1),https://10.18.6.30/chunks/view/96872#comment-210578,2015-03-01 16:37:26
What about output list size?,csiu22 (S),kccandon,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96129#comment-209006,2015-02-28 21:22:09,What about output list size?,csiu22 (S),haoshen,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/94984#comment-208994,2015-02-28 21:14:30
"A return statement breaks out of the function, so the use of else here is mostly not necessary.",ejfegan (S),mmgong,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/89843#comment-203207,2015-02-11 09:08:41,"A return statement breaks out of the function, so the use of else in not necessary.",ejfegan (S),snmishra,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/89744#comment-203188,2015-02-11 08:53:45
"Nice way to break up the formula to improve readability! The comments are a little unnecessary, though. Your variable names and the method specification already describe what's going on.",osmanyc (S),jerop,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89412#comment-204839,2015-02-11 23:46:38,Nice way to break up the formula to improve readability!,osmanyc (S),rparvat,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91134#comment-204820,2015-02-11 23:37:10
Maybe leave a comment explaining this equation,azrahman (S),ls2121,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91299#comment-205442,2015-02-12 14:46:38,Maybe leave a comment explaining this equation,azrahman (S),gesayas,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89709#comment-205419,2015-02-12 14:07:53
You may also want to test different orderings of the passed in tweets with regard to their time.,jpmccabe (T),helik,FilterTest (ps1),https://10.18.6.30/chunks/view/97252#comment-212196,2015-03-02 13:30:39,You may also want to test different orderings of the passed in tweets with regard to their time.,jpmccabe (T),hcg,FilterTest (ps1),https://10.18.6.30/chunks/view/97491#comment-212184,2015-03-02 13:18:59
This should be more than one line to make it more understandable and changeable. Right now there is no way to tell what formula that is or if it is correct.,abe707 (S),ryip,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90605#comment-204452,2015-02-11 20:49:08,This should be more than one line to make it more understandable and changeable. Right now there is no way to tell what formula that is or if it is correct.,abe707 (S),defne,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91509#comment-204434,2015-02-11 20:44:19
The specs already dictate that sides must be >2 so I'm not sure if this is necessary.,jyucra (S),bosshua,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90128#comment-206218,2015-02-12 21:58:06,The specs already dictate that sides must be >2 so I'm not sure if this is necessary.,jyucra (S),dzd123,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91322#comment-206193,2015-02-12 21:50:45
"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),ink,FilterTest (ps1),https://10.18.6.30/chunks/view/97935#comment-212975,2015-03-02 20:51:36,"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),liherman,FilterTest (ps1),https://10.18.6.30/chunks/view/97179#comment-212971,2015-03-02 20:50:07
You can just return the operation instead of creating a new variable. The @return specification already describes this line.,osmanyc (S),rparvat,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91134#comment-204822,2015-02-11 23:38:44,You can just return the operation instead of creating a new variable. The @return specification already describes this line.,osmanyc (S),smohan94,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90671#comment-204730,2015-02-11 23:01:02
"Instead of testing if writtenByYourself == true, you can just use if(writtenByYourself).
The same applies to all the other if and else if statements. Use the ! operator to negate a boolean, when testing for == false. For example, you can write if(!writtenAsCourseWork).",aluh (S),rbeyer,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/89667#comment-205189,2015-02-12 02:06:48,"Instead of testing if writtenByYourself == false, you can just use if(!writtenByYourself).",aluh (S),jyucra,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/91743#comment-205175,2015-02-12 01:58:07
maybe name your test variables something more descriptive than d1 or d2... it'll help when writing your tests to use variables that indicate what test cases they should be used in,jasmeet (S),justinej,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96975#comment-210633,2015-03-01 16:55:44,maybe name your test variables something more descriptive than d1 or d2... it'll help when writing your tests to use variables that indicate what test cases they should be used in,jasmeet (S),eyxue,MyFilterTest (ps1),https://10.18.6.30/chunks/view/96872#comment-210578,2015-03-01 16:37:26
Should implementationRequired be considered here as well? (i.e. should you write code for features in an assignment that you aren't required to implement?),braswell (S),erosolar,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/91037#comment-203216,2015-02-11 09:13:49,Should implementationRequired be considered here as well? (i.e. should you write code for features in an assignment that you aren't required to implement?),braswell (S),epayne,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/91577#comment-203214,2015-02-11 09:12:10
"If there's no implementation requiredIf there's no implementation required and it's a built in helper function, you should be able to use the code indirectly.",priyav (S),rcspence,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/91246#comment-205476,2015-02-12 15:14:58,"If there's no implementation required and it's a built in helper function, you should be able to use the code indirectly.",priyav (S),zpsaras,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/90640#comment-205474,2015-02-12 15:13:45
"I think part of the problem with writing it this way is that while it may work in this case, it could become complex to change if additional variables were added.",nicolekg (S),jimmy42,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/90949#comment-205659,2015-02-12 16:57:28,"I think part of the problem with writing it this way is that while it may work in this case, it could become complex to change if additional variables were added.",nicolekg (S),jimmy42,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/90949#comment-205652,2015-02-12 16:54:01
You should remove this line as you have already finish this part.,witchakk (T),sfulay,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/90872#comment-206390,2015-02-13 15:24:15,You should remove this line as you have already finish this part.,witchakk (T),alexh95,RulesOf6005 (ps0),https://10.18.6.30/chunks/view/91710#comment-206389,2015-02-13 15:23:24
"You can collapse this into a single line as ""private static Tweet noMentions, oneMention, ... selfMention;"" (not literally with the ..., but the names of the tweets)",atitus (S),deannah,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95599#comment-208617,2015-02-28 15:02:46,"You can collapse this into a single line as ""private static Instant d1, d2, d3, d4, d5, d6, d7;"" and on line 46 as ""private static Tweet tweet1, tweet2, tweet3, tweet4, tweet5, tweet6, tweet7, tweet8;""",atitus (S),guezmike,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95797#comment-208594,2015-02-28 14:47:49
"Maybe including comments below the partitioning strategy to describe exactly what you're going to do to test the method would be useful - e.g. test1 empty list inputted, test2 one input tweet, etc etc to show you've covered all the partitionings you mention",rbeyer (S),inspired,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95492#comment-208907,2015-02-28 19:33:11,"Maybe including comments below the partitioning strategy to describe exactly what you're going to do to test the method would be useful - e.g. test1 empty list inputted, test2 one input tweet, etc etc to show you've covered all the partitionings you mention",rbeyer (S),nrakover,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96286#comment-208908,2015-02-28 19:34:34
